question_id,content_id,question,content,comment,comment_id,sarcasm,metaphor,exaggeration,homophonic,symbolism,sentiment,emotion,other_subtext
402707835,1311854569,你打《王者荣耀》为什么不骂人？,因为我还要打游戏，我还要胜利我骂他一句，他回我十句，这把一下减员两人。moba游戏节奏又很关键，一个兵没补到对后面的局势都有很大影响。我平常打游戏的时候练尿急都得忍着，等死了再上。我连上厕所的功夫都没有，哪里有功夫理他啊至于什么素质不素质的，谈这个也没有必要上纲上线。如果你非要聊一下的话，我就得给你讲一讲猜疑链了。你不知道对方是不是有素质的人，对方也不知道你有没有素质。你跟他和和气气的讲话，他有可能莫名暴怒然后问候你祖宗十八代。你是这样想的，他也是。为了不在网络交火里处于下风，最好的方式就是一开口就把他拿下。喷到他无力回天，如果不这样做，那么他就有可能把我们喷到无力回天。所以如果要选择和队友交流，最好的方式就是直接开骂，千万不要讲道理。但是如果对方先开口了，并且像个讲道理的人，那么我们再讲道理。那有没有可能对方其实是讲道理的人，但是被我们骂了以后就不想讲道理，并且默认我们是不讲道理的人呢？也是有的，所以为了避免误伤，也可以用一个方法测试一下队友的素质。比如说一句：我觉得你刚才那波操作的不太好这句话既没有敌意，也没有善意，属于中立评价。如果对方回复：关你屁事那么可以拿下了如果对方回复：不好意思那么就可以聊一下如果对方回复：开麦那么把手机放下吧，输和赢在这一瞬间都不重要了，把他ma喷没了才重要。我最讨厌动不动就说开麦的人了，哔哔半天，我真开麦他反倒闭麦了。线上对骂都不敢，就这还当喷子呢？综上所述跟人对骂，一浪费时间，二浪费精力至于三嘛，我想引用一句在知乎上看过的话不要跟啥b对骂，他们会把你拉到熟悉的领域再用熟悉的方法击败你我相信在座的各位都是有脑子的，即使知乎经常吵架但是大家伙也是围绕着一个中心点展开辩论王者荣耀就不一样了，纯粹为了喷而喷，没有逻辑，没有中心思想，没有目的字打出去，为了什么他是不知道的，他只知道“啊，我爽了”你跟这种人，有啥好争的。解释个半天他当你放屁，还要嘲笑你的天真所以，最后给大家一个建议如果你要打开聊天窗口要么不说话，要么把对方按在地上骂千万不要跟他们摆事实讲道理，也不要妄想着跟他们开玩笑这些人连“不会吧不会吧”都听不懂，你跟他玩啥梗呢？,主要是我懒而且打字浪费时间。,983529955,,,,,,,,
31537241,862564053,有哪些你看过五遍以上的电影？,宫崎骏的电影总是有一种魔力，随着你不断经历世事，总是能够在一次次的观影中有不同的体悟。很多宫崎骏的电影我都看了不止一遍，但要说看了五遍以上的话，只有这部《哈尔的移动城堡》了。这部影片讲述了一个乡镇的女孩苏菲遇见了魔法师哈尔并与之相爱的故事。女孩因为偶遇哈尔，被另外一个女巫下了诅咒，变成了八九十岁的老婆婆，因为身份的变化，苏菲只能远走家乡，却不经意进入了哈尔的移动城堡，成了城堡的清洁工。在日渐相处中，两个人都心生爱意，战火纷飞中，两个人也终于在爱中解除了各自身上的诅咒。起初第一遍没有看明白，又刷了第二遍，而后又重温了几遍。印象最深的是苏菲初次见到哈尔，以及第二次见到哈尔的场景，那种面对喜欢的人的小激动跃然纸上。不了解，才会觉得恐惧。哈尔虽然是一个年轻俊美的魔法师，却被传闻是一个会吃年轻貌美女孩心脏的魔法师。于是，镇上的那还都会躲着他那座移动的城堡。然而苏菲和哈尔的第一次相遇却浪漫地不像话。苏菲一个人走在巷子里被士兵调戏，哈尔便上前解围。这个时候哈尔正被荒野女巫的手下追赶，于是哈尔便带着苏菲，用魔法在空中飞了起来，最后落在西点店的二楼走廊。在刚进入城堡之后，苏菲正在准备早餐，哈尔从外面归来，便拿起苏菲正在用的平底锅开始煎培根和蛋。邻居有需要的时候，也会帮忙给出解决问题的魔法。虽然不愿意接受国王的招募，但自己会去战场组织战争，即使遍体鳞伤也不会放弃。这种既会英雄救美又会下得厨房，温柔帅气，正义善良的男友，简直是众多女生的理想男友。但因为不了解，人们只会相信“哈尔会吃漂亮女孩的心脏”的传闻，而事实上，哈尔和传闻中的那个他完全是两种人。有些女孩子总会说，我想找个对我好，包容我的人。但是却不给对方靠近，或者不给自己了解的机会，正是这样，才会错过许多。“你真的了不起，让我刮目相看哦！”火魔卡西法专门负责移动哈尔的城堡。虽然卡西法自称是恶魔，苏菲在刚进入城堡时，便总是有办法让火魔乖乖听话。但当苏菲发现卡西法能够让城堡移动在不同的地方，她又会毫不吝啬地夸赞卡西法，“卡西法，你真的了不起！让我刮目相看哦！”而且经常在卡西法表现好的时候及时夸赞，这也让卡西法很受用。衷心地夸赞别人，及时给与对方肯定，是一举双得的好事，何乐而不为呢。“我得勇敢一点才行。”苏菲在变成老太婆之后，因为改头换面，反而变得更加洒脱。在误入哈尔的移动城堡时，便说自己是清洁工。哈尔从外面回来后，问她，”是谁聘请你做清洁工的？“苏菲直接说，“是我自己。”看到这里，忍不住笑了起来。正如她所说，上了年纪的好处就是，不会再大惊小怪了。苏菲其实在见到哈尔第一面时，便已经有所倾心，只是她总觉得自己不够漂亮，自卑地不敢面对自己的内心。苏菲虽然被变成了老太婆，但很多时候又会变成原来的模样，让人有种混乱，但仔细看就会发现，当她和哈尔相处得特别开心、由衷地欣赏哈尔、向哈尔表达心意、勇敢面对战场的时候，就会变得年轻。也就是说，只有她勇敢地面对自己的内心时，才会变回年轻的样子，她的年龄是由她内心的勇气决定的。我们又何尝不是如此呢？青春除了面容之外，更多的还是我们内心的勇气和活力所决定。但我们不敢面对自己，不敢面对问题时，即使再年轻，心也都是早衰了而已。趁着对方变成“恶魔”飞走之前，要勇敢一点才行啊!哈尔的移动城堡https://www.zhihu.com/video/1169288481712037888“不美，活下去又有什么意义呢。”虽然哈尔看上去潇洒，但剧中有个场景，又让人对这个帅气男子“刮目相看”。苏菲把脏兮兮的城堡打扫干净后，哈尔用错了魔法，结果哈尔染错了头发，顿时发了疯，吼叫了苏菲，最后还绝望地呼唤了黑暗精灵。哈尔绝望地说，“活得不美，活下去又有什么意义呢！”让人忍俊不禁，原来那个帅气男人也有这么任性的一面。每个看上去成熟的大人不都有着小孩子的一面。比如有些男人，看上去很成熟，其实内心里都有着小男孩的一面。这个时候，正如苏菲说的，闹脾气是不会死人的，允许彼此有脾气，然后接纳即可。虽然我们不会像苏菲一样遇见哈尔这样完美男友，但我们想要追求的那些希望与爱，又何尝不是属于自己的“哈尔”？希望我们都能够变得更加勇敢一些，更加自信一些，不留遗憾。,去年到现在我看了一百多部电影，但是就只有 哈尔的移动城堡 给我一种特别特别温暖的感觉，看电影的每分钟都觉得在享受。还有哈尔染错发色气哭那段，实在太可爱了吧,823303889,,,,,,,,
31537241,388778326,有哪些你看过五遍以上的电影？,《剑雨》这部是我心中 中国武侠片的翘楚浪漫离奇的武侠设定和行云流水般的武打动作都非常出彩，剧情曲折婉转还隐藏着一丝禅意。兵刃相接时，辟水剑会发出水滴般的声音。https://link.zhihu.com/?target=https%3A//www.zhihu.com/video/978235072108900352其实这部电影还蛮褒贬不一的，但我喜欢，这就足够了。如果你也喜欢的话，点个赞吧～空闲时做了个关于影视剧推荐的公众号：233订阅号，有兴趣的可以关注一下~,我也！这部真的经常拿出来重温～那段只愿从此桥上走过真的太感人了,447761202,,,,,,,,
416801257,1427940496,如何看待特朗普称「若中国盼他赢得大选，是对他的侮辱」？,两个人打架，这俩人对你都不好，你会怎么做？当然是：“你俩倒是用力啊？这拳头轻飘飘的，早上没吃饭啊？”“你这右勾拳打的不对，肩带肘，肘带手才有劲儿，光靠胳膊抡能有多大劲儿？”“他喘了他喘了！乘胜追击！别让他松口气！”“你得多绕圈儿，缓一缓别硬上，一会儿他就没劲了！”所以，我们不是希望你俩谁赢，而是希望你俩斗个精疲力竭、两败俱伤才好，在此基础上，我们可以给你们双方共同加油。川川连任，短期不利于我们，但灯塔会加速分裂衰退，蛮好。拜登上任，长期不利于我们，灯塔可能会延年续命，后续的阴招也不可不防，但短期的打压力度会下降，也蛮好。8月13日驻美崔大使有篇公开演讲说的特好，沈逸有个专门讲解可以去看一看，讲话其中有一段：“也许有人认为中方在等待今年11月美国大选结果。我愿声明，中方没有等待，更不愿在等待中浪费时间。预测或影响美国内政走向远非中方所能，中方既无意愿、也无兴趣卷入其中。”川总，我们真的很支持你，义乌还在加班加点给你批发各种旗子帽子，我们不想等待，不想浪费时间，赶紧撸袖子上啊！光动嘴皮子多没劲。拜前副总也是一样，什么班农排农的赶紧再抓几个，别给对方喘息机会！兄弟们顶起来！免费的昆仑决、WWE不看白不看啊，不加油、不助威、不叫好，才真的是在侮辱他们啊！愿意下注的请在评论区留言，我们将抽取一位幸运观众与伊万卡合影.doge,和伊万卡我不只是想合影[惊喜],1035004102,,,,,,,,
415429286,1428258561,高考报志愿严重失误录到四川大学，应该复读吗？,槽点多到头皮发麻，但很有共性。首先有点质疑，今年全国平均来看，北航和川大投档线差35分左右，你这个50分有点离谱。1、你对稳有严重的误解。高考录取看得是省排名，不是具体分数，分数涨主要是因为卷子简单了，即便比去年位次高一点也不稳，录取位次上涨一点就没戏了。所以，对你来说北航属于冲，离稳还差着距离呢。2、学校投档线没有意义，专业录取线才有意义。假如你多考一分，正好够北航，肯定是最差的专业，真不一定比得上川大最好的专业。比川大分数线高了将近五十分，能读川大最好的专业吗？如果可以读口八临八或者5+3，一点不亏。很多省份的川大口八临八接近复交投档线，比学校投档线高60多分，你可能都够不着，有什么可亏的，不喜欢医学那是另外一回事。3、什么叫亏？分数读川大最好的专业还有很大剩余。那基本上可以读清北复交了，你差太多。4、你这成绩，想专业好一点，也就是东南大学成电北理工哈工大水平，并不比川大好很多，想学计算机，转专业去就是，也不比这些学校计算机差多少。5、所以，你这根本算不上严重失误，考入川大比你分数高的应该有不少。6、复读，跟这没有关系，考上北航的也有复读的，因为他们觉得可以考清北，你敢吗？不敢复读，那就在川大努力吧，不要辜负你的分数。高考主要看分数还是排位？手把手一步步教你填志愿，以及志愿填报中常见的15个陷阱,川大还有686分能上浙大南大的来川大学化学了解一下,1035721467,,,,,,,,
31537241,949906706,有哪些你看过五遍以上的电影？,原答案收录70多部经典电影，经修改留下20多部。很多书来不及看，很多电影也来不及看，但是经典电影在不同的年龄、环境、遭遇下看，都能找到很多东西。原答案的70多部电影和另外100多部个人总结的其他经典电影目录放在最后，感兴趣的伙伴可以直接下拉。1、《肖申克的救赎》这部影片应该被很多人提及，但还是坚持放在了这里。如果“希望”、“自由”这些词有形态的话，那就是《肖申克的救赎》。活着的意义是什么？读书有什么用？陷入困境怎么办？失去自由怎么办？这部电影都能给出答案。向往自由的心，怀揣希望的信念，所学所知作工具，到哪里都是自由的。唯一不能被奴役的，只有心。2、《布达佩斯大饭店》如果让你推荐一部构图最精妙美丽的电影，很多人都会想起这部《布达佩斯大饭店》。几乎每一帧画面都能作壁纸，剧中更是大腕云集。看似简单诙谐的故事，有很多隐喻和背景。想了解相关剧情的话可以看下这位知友的解说——《布达佩斯大饭店》这部电影是想传达什么呢？和茨威格的经历有什么关系？3、《海上钢琴师》“陆上的人喜欢寻根究底，虚度很多的光阴。冬天忧虑夏天的迟来，夏天担心冬天的将至。所以你们不停到处去追求一个遥不可及、四季如夏的地方—我并不羡慕。 4、《泰坦尼克号》也许因为太经典，而大家都忽略了这部电影。任何时候《My Heart Will Go On》的音乐声响起，我不相信你不会嘴角上扬、心头一痒。像这次疫情期间待在家里，像皇帝翻牌子似的浏览百度云盘挑今天要看哪部电影，就会想去看看Jake和Rose。5、《香水》很多法国电影色调、镜头都很美，这部电影也不例外。我在优酷看了，删减得没法理解。这不是一部简单的犯罪电影，是一个没有经历过爱、寻找爱、但又不会爱人的年轻人寻找自我的过程。他有着超强的嗅觉，也有一个长到让人记不住的名字。从误杀一名红发少女开始，想留住在少女身上独有的味道而学习制香水。未能达到目的后前往巴塞罗那学习更高超的制香技术，这时候他的人生目标已经是：我要做一件让大家记住我、膜拜我的事情···6、《辛德勒的名单》战争电影中最经典也是个人最喜欢的一部，看到结尾部分战争结束，辛德拉看着被自己救下的人们，指着自己身上所剩不多的金表、纽扣说：这能救一个人，这也能救一个人。瞬间泪目，他已经救下了很多人，但是却后悔没能救更多。犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。7、《荒野生存》改编自真实的故事，展现了一个理想主义者的传奇，一个流浪的故事。一个人在清澈平静的湖里裸泳，在冰天雪地的荒原上生火····天地只剩下自己。适合一个人安静的时候看，如果你想照见自己的内心，推荐这部电影。8、《小鞋子》伊朗的一部电影，也许没有经历过物质贫乏的童年的人会有感动，但感触不大。余华的小说《活着》里，富贵的儿子常年跑着上学，倒练就了长跑技能。电影中的小男孩跟妹妹替换着穿一双鞋子上学，也是一直在奔跑的路上，最后跑出了长跑冠军。绝对会看哭的一部电影，兄妹俩刷鞋子的时候玩泡泡，小男孩小心翼翼呵护妹妹，因为迟到的胆战心惊，跑步得了第一名却错失了第二名的奖品——鞋子。9、《狩猎》看了会胸口很闷的一部电影，没有人会认为孩子会撒谎，天真无邪才是最大的邪，童言无忌才是最大的忌。其实设身处地地想，真的很难判断、很难理智。也感谢导演给了观众一个新的审视世界的角度。被戏称为电视剧《汉尼拔》前传，在家乡受到排斥的“汉尼拔”前往美国成为食人心理医生。10、《消失的爱人》爱与阴谋，婚姻与自由。男：我们互相折磨，互相控制，这样有什么意义呢？ 女：这就是婚姻。女主的母亲以女主为模板出版了系列图书，女主自然生活在被视为小公主的环境下。酒会上认识成熟有魅力的男主，男主带她到一个装卸糖果的地方，轻轻抚摸飞舞在她唇上的糖粉，爱情像空气中的糖粉一样甜蜜。爱情过后，平淡的婚姻生活，女主在发现丈夫婚外情之后，设计了自杀行动，意欲惩罚出轨的丈夫，但她自己也深陷危机。11、《低俗小说》由“文森特和马沙的妻子”、“金表”、“邦妮的处境”三个故事以及影片首尾的序幕和尾声五个部分组成。看似独立的小故事里面，却又有环环相扣的人和事。 啊，经典的扭扭舞。https://www.zhihu.com/video/122516283621475532812、《两杆大烟枪》黑色幽默的经典电影，两个人憨憨杀手，一群人想抢点钱，一群柔弱但有钱的制毒者，带着儿子收钱的跑腿，包括以为掌控一切的打boss。看到《疯狂的石头》的时候会想到这部电影。日韩篇。1、《千年女优》她一生都在演同一出戏。热闹的时空交错，故事连着故事，回忆套着回忆。把蒙太奇运用到极致的一部电影，错过一眼就会跟不上剧情的那种。2、《情书》在另一篇回答里提到过，但是还是忍不住再说。关于初恋、关于雪天，没有比这部电影更合适的了。3、《被嫌弃的松子的一生》“生而为人，我很抱歉”。幼年不被父亲喜欢，一次偶然的鬼脸让父亲忍俊不禁，但也导致了她在紧张的时候会不自主地做这个鬼脸。松子好像一辈子都在为了别人而活，但又一次次地被在乎的人欺骗、抛弃、甚至唾弃。那么，生而为人，我该怎么活？4、《小姐》吹爆金敏喜好吗？！她有一双你愿意为她赴汤蹈火的眼睛。冒充爵士的穷小子计划与被姨夫掌控的拥有家族遗产的小姐合谋，两人假结婚，爵士要钱，给小姐自由。小姐觉得这计划不错，加一条让爵士给自己找个侍女，消失了也不会有人关注的那种。但小姐与侍女却产生了感情，成为对方“睡觉之前会出现在眼前的一张脸”。于是另一个阴谋上演。还有《小森林》、宫崎骏系列就不用说啦，都是反复会看的。文字版的电影目录在这里——值得看五遍以上的170余部经典好电影！https://zhuanlan.zhihu.com/p/99364209爱情电影推荐——你有哪些看过五遍以上的经典电影?（主要是经典的爱情电影，女孩子肯定会喜欢）有哪些适合恋人一起看的电影？国产经典电影推荐——有哪些堪称神作，却鲜为人知的国产电影？（有人说怎么没有提到国产电影，在这里）,看不见的客人，触不可及……完全是我的审美，给你点3个赞,849122592,,,,,,,,
411625573,1422117250,《三十而已》中梁正贤为什么不跟赵静语分手？,故事可以代入 煮肘的三妞妈。不结婚陪伴煮肘十几年，长相身材不管整没整过，至少算好看的，爱生孩子，主动帮男友追新女友，管理后宫佳丽和十几个其他女人生的孩子，忍受老公男尊女卑言行，温柔体贴嘴甜，把傍男友当事业来做，名下也有数亿资产了，事业女性能达到这个资产的也不多。你问她为什么不离开煮肘，她还会问你才万八千工资为什么不辞职呢。（以上没有任何价值取向，纯粹描述一类人）,煮肘三妞妈是谁[好奇],1036101974,,,,,,,,
404779462,1319260300,你从哪些方面可以看出现在的年轻人活得很累？,1、袜子要脱下来顺手就洗了。说实话，真不如攒起来一起洗有效率。2、父母双休，母亲国企，有时候下午两三点就下班了。我毕业以后，第一份工作，一天平均工作时长12小时，无午休，最高连续上班90多天，同事也有破100多天记录的。对于8117来说，996确实是福报。3、长辈说年轻人喜欢熬夜，喜欢吃外卖这种不干净的东西。上大学那会，我天天早睡早起，保证午休，甚至还能有一小时健身时间。工作了要有时间有精力自己做饭，我真的不愿意吃外卖，更不愿熬夜。4、父母催着搞对象。对象可以谈，要是变成对象，需要挤出精力、时间、金钱去维持，这个时间精力从哪来？不是工作时间，就是休息时间。5、年轻人应该有活力，周末在家别窝着，多出去走走。上班后，有时候两个星期休息一天，真的会瘫一天，因为瘫着休息的最好。6、吃饭就是吃饭，别总玩手机！要知道，刚开始第一份工作的时候，我也讨厌这种行为，后来发现，只有吃饭的时候玩手机，才是一天中为数不多的认识外面世界、属于自己的时间。7、年轻人动不动就辞职，太浮躁！连续高强度高压力的工作下，神经已经非常脆弱，身体也出了大大小小的毛病，可是老子才24岁！毕业的时候健身壮的一匹，现在上楼都喘粗气！时不时闹胃病！我只想活下去，不要前途了行不？8、走两步就到了，又锻炼身体，为什么打车？快去快回，完了还有事情要做。9、年轻人花钱大手大脚，不知道攒钱。工作的负面情绪总需要发泄出来，既快捷又不伤害他人（或自残）的方法就是花钱。10、曾经以为秃头离自己很远，直到发现洗头的时候头发一把一把的掉。11、曾经以为，最累的工作莫过于工地搬砖、下井修管道，后来才发现，有时候坐在电脑前一天，虽然也没做多少，但是累的喘不过气来。心累是真的累。12、原来两个星期瘦十斤是真的。13、刚毕业：可以接受加班，年轻人多锻炼是好事，能熬；两年后：996公司不考虑，钱少一点没关系，周末要双休。14、上学时：这个哥哥一定很辛苦，地铁上就睡着了，也不怕东西丢了。工作后：地铁上补觉真爽，回去又能加会班。15、毕业时：我想努力工作，多学知识，几年后做到**经理，几年后跳去大公司/进修，争取毕业几年后年薪**万。工作两年后：我想活着。以上为本人亲历、真实的心理活动，没有夸张成分。不是说社会不好抱怨，也不鼓励好吃懒做，只想说某些风气有些导致年轻人更“累”，希望每一个年轻人都弄清楚自己想要什么，不要“瞎”累半天，到头来一无所有。,看到自己的感觉，而且我还在坚持，好想哭,994699656,,,,,,,,
31537241,367576970,有哪些你看过五遍以上的电影？,"《怦然心动》是我迄今为止主动去看5遍以上的电影，我出生到现在一个大四准毕业生，看过5遍以上电影还是有一些，但很多并不是自己主动去看的。而《怦然心动》是我在大学中第一次，然后又重复看的一部电影。在自己感情生活也占有一定的角色。尤其是其中一句台词：Some of us get dipped in flat, some in satin, some in gloss. But every once in a while you find someone who&#39;s iridescent, and when you do, nothing will ever compare.有些人外表平庸，有些人外表华丽耀眼，但是你总会遇到一些人由内而外地散发着彩虹般的光芒，一旦遇见过，别人对你来说都是浮云是我的最爱。金玉其外败絮其中。简直被女住深深圈粉，女主越看越好看。 里面的歌曲和人物对话都深深地吸引着我。那一首《two is better than one》配上电影，真的是太好听了，建议有兴趣的朋友去听一听。影片充满魔力的让人看后欣然微笑，如沐春风般的让人沉醉，感叹爱情美好的同时也怀揣着对美好事物的向往。真实写照出我们青涩时期的懵懂纯真， 妙不可言又或多或少止不住的感时伤春。剧中的梧桐树贯穿全片，也是具有特别的象征意义。树真的是一个具有强大生命力和治愈力的意象对于朱莉来说，她之所以喜欢这颗梧桐树。是因为一天陪着父亲画画，突然问起她关于布莱斯的事情，朱莉也不知道自己喜欢布莱斯什么，也许是他那双明亮的眼睛，也许是他的笑容，父亲指着画板告诉朱莉，你不能只看表面，整体胜于全部，一幅画不是各个部分的简单相比加，你需要观其貌。朱莉对父亲的话似懂非懂，直到有天她为了拿挂在树上的风筝，爬到从未爬到的高度，被眼前的风景深深吸引。从那之后，大树的顶端就成了朱莉的小天地。在这上面她明白了父亲说的话。美丽不是因为一片云一颗树，或是穿过树桠缝隙的缕缕阳光， 也不是将他们全部拼凑在一起，当你看到这副景象时，并不会在意某个细节，而是被其本身所吸引，这就是整体。布莱斯不顾朱莉的祈求（一起保护梧桐树），使朱莉非常的伤心。当梧桐树被砍后，父亲为朱莉准备了一副油画，上面画着一颗梧桐树，朱莉每天对着树画入眠，她看到了树以外的东西。明天了在它上面对于自己的意义。 同时开始审视周围的事物，审视布莱斯。影片这种纯情的恋爱故事，虽然是少男少女的小心思和小决定，却也呈现得相当动人。影片利用主观叙述视角上的便利，一个故事在前一个人看是一个样，而后面则会揭示从另一人的角度看起来的截然不同的真相，把青春时候的甜蜜和青涩都展现了出来。从我们青春期最早的时候，男男女女（哈哈，我也在其中）便对身边的人砰然心动，芳心暗许，彼此吸引。但是这样的心动，是因为漂亮的外表，是因为帅气的衣服，是因为篮球场上的英姿，或是一举一动？在喜欢产生的时候，突如其来，谁也不知道为什么。只是帅气和漂亮的外表终会被 粗俗的行为破坏。漂亮的眼睛也会因为虚荣而暗淡。所以，自己魂牵梦萦的，到底是一个可以了解到梧桐树顶端的风景有多美， 了解叔叔的纯真以及父母的辛苦的人（朱莉是这样的人），还是一个虚有其表，在意耳洞，只会攀比，却嘲笑一个因为悲剧导致的智力障碍者的让人昵？(校花是这样的人)当追求爱情的时候，我们到底是不是爱着她/他的美好内心呢？ 影片中朱莉和布莱斯都是这样选择的，我们会如何选择?作者借着影片中青春少女的爱情故事，讲述的却不仅仅是小小恋爱，而是外表和内在的故事。 如布莱斯的父亲，虽然外表光鲜，内心却已腐朽，忘记了真正重要的事情。钻进了金钱和权力的追逐中，渐渐失去了自己的本心，而另一些人则不是如此。他们没有忘记人性中最重要的那些东西，虽然他们也会被世界和所爱的人所缠累。但他们确实了解人生中哪些是最重要的， 所以到这里，又回到那句经典台词：Some of us get dipped in flat, some in satin, some in gloss. But every once in a while you find someone who&#39;s iridescent, and when you do, nothing will ever compare. 有些人沦为平庸浅薄，金玉其外，而败絮其中。可不经意间，有一天你会遇到一个彩虹般绚丽的人，从此以后，其他人就不过是匆匆浮云。希望大家都能找到一个彩虹般绚丽的人（来自小编的寄语）以下是本片一些介绍类型: 剧情  喜剧 / 爱情豆瓣评分：8.9分内容简介：布莱斯（卡兰•麦克奥利菲 Callan McAuliffe 饰）全家搬到小镇，邻家女孩朱丽（玛德琳•卡罗尔 Madeline Carroll 饰）前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班同学，她一直想方设法接近他，但是他避之不及。她喜欢爬在高高的梧桐树上看风景。但因为施工，树被要被砍掉，她誓死捍卫，希望他并肩作战，但是他退缩了。她的事迹上了报纸，外公对她颇有好感，令他十分困惑……喜欢的朋友，推荐去看原片，非常适合多看几遍。喜欢的朋友，可以给个赞。嘻嘻，首先感谢大家的支持。第一次问题破千，非常感谢。希望大家都能找到一个彩虹般的人。微信公众号：尉迟丝瑶分享冷门但值得一看的电影。",被国内的烂片《怦然星动》覆盖了，这个我很早看过，很纯真美好，“未曾青梅，青梅枯萎，芬芳满地；不见竹马，竹马老去，相思万里；从此，我爱上的人都很像你……”,432961737,,,,,,,,
411625573,1379907195,《三十而已》中梁正贤为什么不跟赵静语分手？,由于梁已实现了财务自由，作为海王四处猎艳又屡屡得手，所以他已经失去了爱的能力，因为在他优雅风趣的外表下是对女性蔑视，认为她们都是可以用金钱买来的，根本没有平等可言，一切唯我所用。不和赵分手也很好理解了，因为她没工作，离不开他，任何无理的要求她都只好接受，没有任何讨价还价的余地，所以她在后方是最安全的。至于外面打到的猎物，无论多么漂亮多么优秀都很难真正打动他，除了性之外，他更享受每次打到不同猎物的新鲜感和费尽心思最后终于如愿以偿的成就感，而付出的代价也只是时间和预算内的金钱。所以，在王漫妮和赵之间他当然选赵，因为7年了不是因为感情，而是更了解，用人还是旧人好用。至于一南一北的说法，那只是为了稳住王漫妮，他现在还没厌烦她或还没打到满意的新猎物，一旦有了新的替代品，王漫妮不是和前任一样被无情抛弃，她能拿他怎么样。,还是要倡导女性独立，不能依赖别人,1035169230,,,,,,,,
